"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2024","431239.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2023","403813.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2022","376459.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2021","351502.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2020","330606.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2019","311300.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2018","293337.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2017","278615.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2016","266401.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2015","255635.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2014","246153.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2013","238457.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2012","231698.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2011","225333.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2010","220611.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2009","217879.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2008","215542.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2007","212826.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2006","210715.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2005","209281.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2004","207436.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2003","204701.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2002","200952.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2001","195661.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","2000","188552.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1999","179949.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1998","170025.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1997","159095.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1996","148065.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1995","137557.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1994","127516.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1993","117894.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1992","108981.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1991","100942.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1990","93877.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1989","87838.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1988","82830.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1987","78846.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1986","75825.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1985","73747.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1984","72636.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1983","72513.000"
"Population ages 70-74, male","SP.POP.7074.MA","Morocco","MAR","1982","73109.000"
