ADM1_FR,ADM1_FR_norm,ADM1_target_norm,FMIndex_Monthly_MAU,GT_FM_index,Region_norm,TotalPopulation,MalePopulation,FemalePopulation
Béni Mellal-Khénifra,beni mellal-khenifra,beni mellal-khenifra,1.5744648779017183,0.7052238805970149,beni mellal-khenifra,2510799.0,1227780.711,1283018.289
Drâa-Tafilalet,draa-tafilalet,,,,draa-tafilalet,1643144.0,808426.8480000001,834717.1519999999
Fès-Meknès,fes-meknes,fes-meknes,1.4195539852541608,0.9695110350076104,fes-meknes,4436873.0,2205125.881,2231747.119
Grand Casablanca-Settat,grand casablanca-settat,grand casablanca-settat,1.457373535443051,0.9562358792646652,grand casablanca-settat,7651096.0,3817896.9039999996,3833199.0960000004
Guelmim-Oued Noun,guelmim-oued noun,guelmim-oued noun,1.3898369359120213,0.4274809160305343,guelmim-oued noun,417663.0,205907.859,211755.141
Marrakech-Safi,marrakech-safi,marrakech-safi,1.4695443186593127,1.0141103672144451,marrakech-safi,4864187.0,2451550.2479999997,2412636.7520000003
Oriental,oriental,oriental,1.3380067052727826,0.7903225806451613,oriental,2269378.0,1109725.842,1159652.158
Rabat-Salé-Kénitra,rabat-sale-kenitra,rabat-sale-kenitra,1.3477762788208536,0.9505768605784856,rabat-sale-kenitra,5088656.0,2529062.032,2559593.968
Souss-Massa,souss-massa,souss-massa,1.3760566149007274,0.8705234159779615,souss-massa,2994360.0,1485202.56,1509157.44
Tanger-Tétouan-Al Hoceima,tanger-tetouan-al hoceima,tanger-tetouan-al hoceima,1.5624317878653138,0.751083202511774,tanger-tetouan-al hoceima,4008655.0,2036396.74,1972258.26
