geoName,score_sum_F,score_sum_M,GT_FM_index
Chaouia-Ouardigha,309,329,0.939209726443769
Doukkala-Abda,309,310,0.9967741935483871
Fes-Boulemane,302,288,1.0486111111111112
Gharb-Chrarda-Beni Hssen,297,340,0.8735294117647059
Grand Casablanca,364,374,0.9732620320855615
Guelmim-Es Semara,112,262,0.42748091603053434
Laayoune-Boujdour-Sakia El Hamra,0,0,
Marrakesh-Tensift-El Haouz,328,318,1.0314465408805031
Meknes-Tafilalet,260,292,0.8904109589041096
Oriental,245,310,0.7903225806451613
Rabat-Sale-Zemmour-Zaer,372,362,1.0276243093922652
Souss-Massa-Draa,316,363,0.8705234159779615
Tadla-Azilal,189,268,0.7052238805970149
Tangier-Tetouan,333,325,1.0246153846153847
Taza-Al Hoceima-Taounate,117,245,0.4775510204081633
