,RegionCode,RegionName,DailyActiveUsers_ALL,DailyActiveUsers_F,DailyActiveUsers_M,MonthlyActiveUsersMid_ALL,MonthlyActiveUsersMid_F,MonthlyActiveUsersMid_M,FMIndex_Monthly_MAU,FMIndex_Daily_DAU,RegionName_norm,GT_FM_index,ADM1_target_norm
0,2206,Grand Casablanca,4121163.0,2548151.0,1814583.0,6150000.0,3500000.0,2650000.0,1.320754716981132,1.4042625771320463,grand casablanca,0.9732620320855616,grand casablanca-settat
1,2212,Fès-Boulemane,1161316.0,674713.0,480212.0,1800000.0,1026650.0,747250.0,1.3739043158246906,1.405031527741914,fes-boulemane,1.0486111111111112,fes-meknes
2,2218,Marrakesh-Tensift-El Haouz,1731827.0,991438.0,0.0,2500000.0,1450000.0,1025350.0,1.4141512654215633,inf,marrakesh-tensift-el haouz,1.0314465408805031,marrakech-safi
3,2219,Meknès-Tafilalet,980188.0,0.0,368970.0,1450000.0,857950.0,585550.0,1.4652036546836307,0.0,meknes-tafilalet,0.8904109589041096,fes-meknes
4,2223,Rabat-Salé-Zemmour-Zaer,2559296.0,1410458.0,1060965.0,3750000.0,2050000.0,1700000.0,1.2058823529411764,1.3294104895071939,rabat-sale-zemmour-zaer,1.0276243093922652,rabat-sale-kenitra
5,2226,Tangier-Tetouan,1889834.0,997359.0,713206.0,2700000.0,1500000.0,1100000.0,1.3636363636363635,1.3984164463002273,tangier-tetouan,1.0246153846153847,tanger-tetouan-al hoceima
6,2228,Taza-Al Hoceima-Taounate,0.0,264533.0,136050.0,619450.0,396100.0,224900.0,1.761227212094264,1.944380742374127,taza-al hoceima-taounate,0.4775510204081633,tanger-tetouan-al hoceima
7,2230,Guelmim-Es Semara,221783.0,128950.0,87471.0,321150.0,183250.0,131850.0,1.3898369359120213,1.4742028786683588,guelmim-es semara,0.4274809160305343,guelmim-oued noun
8,2232,Laâyoune-Boujdour-Sakia El Hamra,209009.0,122148.0,83737.0,308150.0,173800.0,130150.0,1.3353822512485594,1.4587100087177711,laayoune-boujdour-sakia el hamra,,laayoune-sakia el hamra
9,4387,Dakhla-Oued Ed-Dahab,97533.0,63683.0,33999.0,150650.0,96100.0,55050.0,1.745685740236149,1.8730845024853673,dakhla-oued ed-dahab,,dakhla-oued ed dahab
10,4388,Souss-Massa-Drâa,1706943.0,963341.0,649999.0,2400000.0,1400000.0,1017400.0,1.3760566149007274,1.4820653570236262,souss-massa-draa,0.8705234159779615,souss-massa
11,4389,Gharb-Chrarda-Béni Hssen,832619.0,515268.0,325810.0,1300000.0,785950.0,527600.0,1.4896702047005308,1.581498419324146,gharb-chrarda-beni hssen,0.8735294117647059,rabat-sale-kenitra
12,4390,Chaouia-Ouardigha,802682.0,499393.0,291259.0,1200000.0,729650.0,457750.0,1.59399235390497,1.7146010938717773,chaouia-ouardigha,0.939209726443769,grand casablanca-settat
13,4391,Oriental,991282.0,570797.0,394206.0,1550000.0,878000.0,656200.0,1.3380067052727826,1.447966291735793,oriental,0.7903225806451613,oriental
14,4392,Doukkala-Abda,733337.0,451437.0,279103.0,1100000.0,669600.0,439100.0,1.5249373718970622,1.61745663787204,doukkala-abda,0.9967741935483873,marrakech-safi
15,4393,Tadla-Azilal,550442.0,345784.0,198133.0,861200.0,522250.0,331700.0,1.5744648779017185,1.745211549817547,tadla-azilal,0.7052238805970149,beni mellal-khenifra
16,MA,Morocco (all),18289723.0,10496259.0,7385315.0,27300000.0,15450000.0,11750000.0,1.3148936170212766,1.4212337591558384,morocco (all),,
