"cat","adm3_pcode","popTotal","popTravelTime_15","popTravelTime_29","popCoveredPercent_15","popCoveredPercent_29"
1,MA0020051410101,3489.5869027049,3431.8012220168,3456.9052172828,98.3440538293,99.0634511668
2,MA0020051410103,6859.3615604656,6859.3615604656,6859.3615604656,100,100
3,MA0020051410107,6725.0499004789,6407.6161917127,6487.5287135161,95.2798311765,96.4681126463
4,MA0020051410111,6809.6641966555,6809.6641966555,6809.6641966555,100,100
5,MA0020051410113,4965.9922886399,4965.9922886399,4965.9922886399,100,100
6,MA0020051410121,9771.1423264463,9710.5535613281,9710.5535613281,99.3799213736,99.3799213736
7,MA0020051410123,6073.0866937232,6073.0866937232,6073.0866937232,100,100
8,MA0020051410125,5973.6565167863,5973.6565167863,5973.6565167863,100,100
9,MA0020051410131,38756.6373454586,38351.7427924148,38756.6373454586,98.9552897754,100
10,MA0020051410141,25591.4250109526,25456.5451639184,25591.4250109526,99.4729490563,100
11,MA0020051410151,10346.9429986477,9524.8646441617,10251.0620968886,92.0548672725,99.0733407754
12,MA0020051410153,45644.9674429567,41961.2591068749,45644.9674429567,91.929650644,100
13,MA0020051410161,6428.8176858996,6428.8176858996,6428.8176858996,100,100
14,MA0020051410163,6713.7525255294,6713.7525255294,6713.7525255294,100,100
15,MA0020051410171,18531.1689503705,18475.6288856613,18531.1689503705,99.7002883906,100
16,MA0020051410173,15637.5720724984,15637.5720724984,15637.5720724984,100,100
17,MA0020051410181,87.3084442419,87.3084442419,87.3084442419,100,100
