ADM3_AR,ADM3_FR,ADM3_PCODE,AREA_SQKM,wp_tot_pop,pop_total,pop_f,pop_0_4,pop_f15_59,pop_0_14,pop_m,pop_density_0_4,child_dep_ratio,Private,Public,School,Toddler Care,childcare_total,share_public_childcare,childcare_coverage_ratio,m_unemp_rate,f_unemp_rate,total_unemp_rate,mpi,unemp_gap
أنفا,Anfa,MA0020051410101,16.5731937271,213281.5,66026,34825,3489.586902704882,38889.314,10828.264,31201,210.5560919739212,89.73125375019168,9.0,3.0,2.0,10.0,12.0,0.25,3.438802452719674,15.4,12.8,14.3,0.64,-2.5999999999999996
المعاريف,Maârif,MA0020051410103,12.4068287884,233241.3125,139116,73273,6859.3615604656425,85138.992,21284.748,65843,552.8698491333203,80.56662874826662,40.0,2.0,18.0,24.0,42.0,0.047619047619047616,6.123018830508895,12.1,9.4,10.9,0.37,-2.6999999999999993
سيدي بليوط,Sidi Belyout,MA0020051410107,10.0422322633,146681.859375,136392,68583,6725.049900478952,81426.02399999999,20867.976,67809,669.6767933814964,82.59091590274569,9.0,5.0,5.0,9.0,14.0,0.35714285714285715,2.0817689395885277,19.8,19.0,19.5,0.74,-0.8000000000000007
الفداء,Al-Fida,MA0020051410111,3.79617250488,72349.25,125777,63247,6809.664196655533,74334.207,21130.536,62530,1793.8236968687995,91.608755531024,3.0,4.0,2.0,5.0,7.0,0.5714285714285714,1.0279508354373699,22.0,26.5,23.3,0.73,4.5
مرس السلطان,Mers-Sultan,MA0020051410113,3.70074496422,69744.9296875,97529,48830,4965.992288639888,57444.581,15409.582,48699,1341.8898996425607,86.44840300323347,4.0,4.0,2.0,6.0,8.0,0.5,1.6109569920800424,22.6,24.6,23.2,0.71,2.0
عين السبع,Aïn-Sebaâ,MA0020051410121,15.3436023093,245398.109375,143697,73655,9771.142326446283,89810.625,30320.067000000003,70042,636.8219228755584,108.79717546165928,12.0,2.0,8.0,6.0,14.0,0.14285714285714285,1.4327905102874223,17.3,17.1,17.3,0.47,-0.1999999999999993
الصخور السوداء,Asoukhour Assawda,MA0020051410123,7.18742501779,114789.578125,104694,54017,6073.0866937231385,64491.504,18844.92,50677,844.9600070527762,94.16878684862333,12.0,0.0,3.0,9.0,12.0,0.0,1.975930956559972,16.9,15.4,16.4,0.42,-1.4999999999999982
الحي المحمدي,Hay-Mohammadi,MA0020051410125,4.18274973214,74805.3359375,104137,53352,5973.656516786269,62378.062999999995,18536.386000000002,50785,1428.1649391750716,95.76534168408323,5.0,3.0,3.0,5.0,8.0,0.375,1.3392132569925315,26.0,26.3,26.1,0.73,0.3000000000000007
الحي الحسني,Hay-Hassani,MA0020051410131,40.8129522784,588343.125,536887,272855,38756.637345458475,345218.341,120262.688,264032,949.6161189488413,112.26702855123932,19.0,4.0,7.0,16.0,23.0,0.17391304347826086,0.5934467377803909,15.8,18.1,16.6,0.7,2.3000000000000007
عين الشق,Aïn-Chock,MA0020051410141,39.3847363115,547949.5,374579,189875,25591.425010952626,235984.77,79410.74799999999,184704,649.7802805773807,108.4452399659208,43.0,0.0,22.0,21.0,43.0,0.0,1.6802503175027121,16.6,16.5,16.6,0.63,-0.10000000000000142
سيدي البرنوصي,Sidi Bernoussi,MA0020051410151,12.6902607373,192450.1875,153621,78766,10346.942998647723,95245.02,32106.788999999997,74855,815.3451857955406,108.6350026347595,9.0,2.0,2.0,9.0,11.0,0.18181818181818182,1.0631159368943683,23.0,22.4,22.8,0.67,-0.6000000000000014
سيدي مومن,Sidi Moumen,MA0020051410153,26.2366641681,397386.8125,551118,279056,45644.967442956855,348857.694,141637.326,272062,1739.7397455143919,130.84122330682163,8.0,3.0,5.0,6.0,11.0,0.2727272727272727,0.2409904227393053,17.2,22.2,18.6,0.75,5.0
ابن مسيك,Ben-M'sick,MA0020051410161,3.11673154428,58375.265625,105549,54268,6428.8176858996,63329.399999999994,19948.761,51281,2062.6793147129165,101.51395222281594,7.0,4.0,5.0,6.0,11.0,0.36363636363636365,1.7110455666096158,23.2,28.2,24.6,0.91,5.0
سباتة,Sbata,MA0020051410163,4.57644543325,58202.41796875,101624,51146,6713.752525529356,61889.015999999996,20832.92,50478,1467.0233969689286,108.48051818321616,1.0,1.0,1.0,1.0,2.0,0.5,0.29789599667174316,20.9,25.6,22.2,0.69,4.700000000000003
مولاي رشيد,Moulay Rachid,MA0020051410171,10.7320760223,161694.203125,244692,123909,18531.168950370607,152198.424,57502.619999999995,120783,1726.708691949722,121.75664151667306,12.0,2.0,8.0,6.0,14.0,0.14285714285714285,0.7554839113222812,21.5,25.2,22.5,0.99,3.6999999999999993
سيدي عثمان,Sidi Othmane,MA0020051410173,8.02019070624,133581.28125,211894,107619,15637.57207249845,129467.234,48523.725999999995,104275,1949.7755907888638,120.78401298430806,1.0,0.0,1.0,0.0,1.0,0.0,0.06394854619143109,21.2,26.2,22.5,0.89,5.0
مشور الدار البيضاء,Méchouar de Casablanca,MA0020051410181,0.418081748438,7761.43994140625,2084,1136,87.30844424192158,1196.216,270.92,948,208.83103500240242,72.98718980679207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,11.9,15.3,,-5.499999999999998
